n,caso,k,p,disponibilidade_analitica
1,k = 1,1,0.0,0.0
1,k = 1,1,0.05,0.05
1,k = 1,1,0.1,0.1
1,k = 1,1,0.15000000000000002,0.15000000000000002
1,k = 1,1,0.2,0.2
1,k = 1,1,0.25,0.25
1,k = 1,1,0.30000000000000004,0.30000000000000004
1,k = 1,1,0.35000000000000003,0.35000000000000003
1,k = 1,1,0.4,0.4
1,k = 1,1,0.45,0.45
1,k = 1,1,0.5,0.5
1,k = 1,1,0.55,0.55
1,k = 1,1,0.6000000000000001,0.6000000000000001
1,k = 1,1,0.65,0.65
1,k = 1,1,0.7000000000000001,0.7000000000000001
1,k = 1,1,0.75,0.75
1,k = 1,1,0.8,0.8
1,k = 1,1,0.8500000000000001,0.8500000000000001
1,k = 1,1,0.9,0.9
1,k = 1,1,0.9500000000000001,0.9500000000000001
1,k = 1,1,1.0,1.0
1,k = n/2,1,0.0,0.0
1,k = n/2,1,0.05,0.05
1,k = n/2,1,0.1,0.1
1,k = n/2,1,0.15000000000000002,0.15000000000000002
1,k = n/2,1,0.2,0.2
1,k = n/2,1,0.25,0.25
1,k = n/2,1,0.30000000000000004,0.30000000000000004
1,k = n/2,1,0.35000000000000003,0.35000000000000003
1,k = n/2,1,0.4,0.4
1,k = n/2,1,0.45,0.45
1,k = n/2,1,0.5,0.5
1,k = n/2,1,0.55,0.55
1,k = n/2,1,0.6000000000000001,0.6000000000000001
1,k = n/2,1,0.65,0.65
1,k = n/2,1,0.7000000000000001,0.7000000000000001
1,k = n/2,1,0.75,0.75
1,k = n/2,1,0.8,0.8
1,k = n/2,1,0.8500000000000001,0.8500000000000001
1,k = n/2,1,0.9,0.9
1,k = n/2,1,0.9500000000000001,0.9500000000000001
1,k = n/2,1,1.0,1.0
1,k = n,1,0.0,0.0
1,k = n,1,0.05,0.05
1,k = n,1,0.1,0.1
1,k = n,1,0.15000000000000002,0.15000000000000002
1,k = n,1,0.2,0.2
1,k = n,1,0.25,0.25
1,k = n,1,0.30000000000000004,0.30000000000000004
1,k = n,1,0.35000000000000003,0.35000000000000003
1,k = n,1,0.4,0.4
1,k = n,1,0.45,0.45
1,k = n,1,0.5,0.5
1,k = n,1,0.55,0.55
1,k = n,1,0.6000000000000001,0.6000000000000001
1,k = n,1,0.65,0.65
1,k = n,1,0.7000000000000001,0.7000000000000001
1,k = n,1,0.75,0.75
1,k = n,1,0.8,0.8
1,k = n,1,0.8500000000000001,0.8500000000000001
1,k = n,1,0.9,0.9
1,k = n,1,0.9500000000000001,0.9500000000000001
1,k = n,1,1.0,1.0
2,k = 1,1,0.0,0.0
2,k = 1,1,0.05,0.0975
2,k = 1,1,0.1,0.19000000000000003
2,k = 1,1,0.15000000000000002,0.2775
2,k = 1,1,0.2,0.3600000000000001
2,k = 1,1,0.25,0.4375
2,k = 1,1,0.30000000000000004,0.51
2,k = 1,1,0.35000000000000003,0.5775
2,k = 1,1,0.4,0.64
2,k = 1,1,0.45,0.6975
2,k = 1,1,0.5,0.75
2,k = 1,1,0.55,0.7975000000000001
2,k = 1,1,0.6000000000000001,0.8400000000000001
2,k = 1,1,0.65,0.8775
2,k = 1,1,0.7000000000000001,0.91
2,k = 1,1,0.75,0.9375
2,k = 1,1,0.8,0.9600000000000001
2,k = 1,1,0.8500000000000001,0.9775
2,k = 1,1,0.9,0.99
2,k = 1,1,0.9500000000000001,0.9974999999999999
2,k = 1,1,1.0,1.0
2,k = n/2,1,0.0,0.0
2,k = n/2,1,0.05,0.0975
2,k = n/2,1,0.1,0.19000000000000003
2,k = n/2,1,0.15000000000000002,0.2775
2,k = n/2,1,0.2,0.3600000000000001
2,k = n/2,1,0.25,0.4375
2,k = n/2,1,0.30000000000000004,0.51
2,k = n/2,1,0.35000000000000003,0.5775
2,k = n/2,1,0.4,0.64
2,k = n/2,1,0.45,0.6975
2,k = n/2,1,0.5,0.75
2,k = n/2,1,0.55,0.7975000000000001
2,k = n/2,1,0.6000000000000001,0.8400000000000001
2,k = n/2,1,0.65,0.8775
2,k = n/2,1,0.7000000000000001,0.91
2,k = n/2,1,0.75,0.9375
2,k = n/2,1,0.8,0.9600000000000001
2,k = n/2,1,0.8500000000000001,0.9775
2,k = n/2,1,0.9,0.99
2,k = n/2,1,0.9500000000000001,0.9974999999999999
2,k = n/2,1,1.0,1.0
2,k = n,2,0.0,0.0
2,k = n,2,0.05,0.0025000000000000005
2,k = n,2,0.1,0.010000000000000002
2,k = n,2,0.15000000000000002,0.022500000000000006
2,k = n,2,0.2,0.04000000000000001
2,k = n,2,0.25,0.0625
2,k = n,2,0.30000000000000004,0.09000000000000002
2,k = n,2,0.35000000000000003,0.12250000000000003
2,k = n,2,0.4,0.16000000000000003
2,k = n,2,0.45,0.2025
2,k = n,2,0.5,0.25
2,k = n,2,0.55,0.30250000000000005
2,k = n,2,0.6000000000000001,0.3600000000000001
2,k = n,2,0.65,0.42250000000000004
2,k = n,2,0.7000000000000001,0.4900000000000001
2,k = n,2,0.75,0.5625
2,k = n,2,0.8,0.6400000000000001
2,k = n,2,0.8500000000000001,0.7225000000000001
2,k = n,2,0.9,0.81
2,k = n,2,0.9500000000000001,0.9025000000000001
2,k = n,2,1.0,1.0
4,k = 1,1,0.0,0.0
4,k = 1,1,0.05,0.18549375
4,k = 1,1,0.1,0.34390000000000004
4,k = 1,1,0.15000000000000002,0.47799375
4,k = 1,1,0.2,0.5904000000000001
4,k = 1,1,0.25,0.68359375
4,k = 1,1,0.30000000000000004,0.7599
4,k = 1,1,0.35000000000000003,0.8214937499999998
4,k = 1,1,0.4,0.8704000000000001
4,k = 1,1,0.45,0.9084937500000003
4,k = 1,1,0.5,0.9375
4,k = 1,1,0.55,0.9589937500000001
4,k = 1,1,0.6000000000000001,0.9744
4,k = 1,1,0.65,0.9849937500000001
4,k = 1,1,0.7000000000000001,0.9918999999999999
4,k = 1,1,0.75,0.99609375
4,k = 1,1,0.8,0.9984000000000001
4,k = 1,1,0.8500000000000001,0.9994937500000001
4,k = 1,1,0.9,0.9999
4,k = 1,1,0.9500000000000001,0.99999375
4,k = 1,1,1.0,1.0
4,k = n/2,2,0.0,0.0
4,k = n/2,2,0.05,0.014018750000000002
4,k = n/2,2,0.1,0.05230000000000001
4,k = n/2,2,0.15000000000000002,0.10951875000000001
4,k = n/2,2,0.2,0.18080000000000007
4,k = n/2,2,0.25,0.26171875
4,k = n/2,2,0.30000000000000004,0.34830000000000005
4,k = n/2,2,0.35000000000000003,0.43701875
4,k = n/2,2,0.4,0.5248
4,k = n/2,2,0.45,0.6090187500000002
4,k = n/2,2,0.5,0.6875
4,k = n/2,2,0.55,0.75851875
4,k = n/2,2,0.6000000000000001,0.8208000000000001
4,k = n/2,2,0.65,0.8735187500000001
4,k = n/2,2,0.7000000000000001,0.9163
4,k = n/2,2,0.75,0.94921875
4,k = n/2,2,0.8,0.9728
4,k = n/2,2,0.8500000000000001,0.9880187500000001
4,k = n/2,2,0.9,0.9963
4,k = n/2,2,0.9500000000000001,0.99951875
4,k = n/2,2,1.0,1.0
4,k = n,4,0.0,0.0
4,k = n,4,0.05,6.250000000000001e-06
4,k = n,4,0.1,0.00010000000000000002
4,k = n,4,0.15000000000000002,0.0005062500000000003
4,k = n,4,0.2,0.0016000000000000003
4,k = n,4,0.25,0.00390625
4,k = n,4,0.30000000000000004,0.008100000000000005
4,k = n,4,0.35000000000000003,0.015006250000000006
4,k = n,4,0.4,0.025600000000000005
4,k = n,4,0.45,0.04100625
4,k = n,4,0.5,0.0625
4,k = n,4,0.55,0.09150625000000003
4,k = n,4,0.6000000000000001,0.12960000000000008
4,k = n,4,0.65,0.17850625000000003
4,k = n,4,0.7000000000000001,0.2401000000000001
4,k = n,4,0.75,0.31640625
4,k = n,4,0.8,0.4096000000000001
4,k = n,4,0.8500000000000001,0.5220062500000002
4,k = n,4,0.9,0.6561
4,k = n,4,0.9500000000000001,0.8145062500000002
4,k = n,4,1.0,1.0
8,k = 1,1,0.0,0.0
8,k = 1,1,0.05,0.3365795687109373
8,k = 1,1,0.1,0.5695327900000001
8,k = 1,1,0.15000000000000002,0.7275094749609375
8,k = 1,1,0.2,0.8322278400000002
8,k = 1,1,0.25,0.8998870849609375
8,k = 1,1,0.30000000000000004,0.94235199
8,k = 1,1,0.35000000000000003,0.9681355187109371
8,k = 1,1,0.4,0.98320384
8,k = 1,1,0.45,0.9916266062109378
8,k = 1,1,0.5,0.99609375
8,k = 1,1,0.55,0.9983184874609375
8,k = 1,1,0.6000000000000001,0.99934464
8,k = 1,1,0.65,0.9997748124609376
8,k = 1,1,0.7000000000000001,0.99993439
8,k = 1,1,0.75,0.9999847412109375
8,k = 1,1,0.8,0.9999974399999999
8,k = 1,1,0.8500000000000001,0.9999997437109376
8,k = 1,1,0.9,0.99999999
8,k = 1,1,0.9500000000000001,0.9999999999609376
8,k = 1,1,1.0,1.0
8,k = n/2,4,0.0,0.0
8,k = n/2,4,0.05,0.00037175136718750005
8,k = n/2,4,0.1,0.00502435
8,k = n/2,4,0.15000000000000002,0.021352470117187505
8,k = n/2,4,0.2,0.056281600000000015
8,k = n/2,4,0.25,0.1138153076171875
8,k = n/2,4,0.30000000000000004,0.19410435000000006
8,k = n/2,4,0.35000000000000003,0.2936005638671874
8,k = n/2,4,0.4,0.4059136
8,k = n/2,4,0.45,0.5230436888671877
8,k = n/2,4,0.5,0.63671875
8,k = n/2,4,0.55,0.7396192826171876
8,k = n/2,4,0.6000000000000001,0.8263296000000001
8,k = n/2,4,0.65,0.8939090951171875
8,k = n/2,4,0.7000000000000001,0.9420323500000001
8,k = n/2,4,0.75,0.9727020263671875
8,k = n/2,4,0.8,0.9895936
8,k = n/2,4,0.8500000000000001,0.9971461263671877
8,k = n/2,4,0.9,0.99956835
