n,caso,k,p,disponibilidade_analitica,disponibilidade_experimental,erro_absoluto
1,k = 1,1,0.0,0.0,0.0,0.0
1,k = 1,1,0.05,0.05,0.0491,0.000900000000000005
1,k = 1,1,0.1,0.1,0.09951,0.0004900000000000043
1,k = 1,1,0.15000000000000002,0.15000000000000002,0.15093,0.0009299999999999864
1,k = 1,1,0.2,0.2,0.20217,0.0021699999999999775
1,k = 1,1,0.25,0.25,0.2474,0.002599999999999991
1,k = 1,1,0.30000000000000004,0.30000000000000004,0.29833,0.0016700000000000603
1,k = 1,1,0.35000000000000003,0.35000000000000003,0.34912,0.0008800000000000474
1,k = 1,1,0.4,0.4,0.3989,0.0011000000000000454
1,k = 1,1,0.45,0.45,0.45056,0.0005600000000000049
1,k = 1,1,0.5,0.5,0.50121,0.0012100000000000444
1,k = 1,1,0.55,0.55,0.54981,0.00019000000000002348
1,k = 1,1,0.6000000000000001,0.6000000000000001,0.59994,6.0000000000060005e-05
1,k = 1,1,0.65,0.65,0.65028,0.00027999999999994696
1,k = 1,1,0.7000000000000001,0.7000000000000001,0.70298,0.0029799999999999827
1,k = 1,1,0.75,0.75,0.75023,0.00022999999999995246
1,k = 1,1,0.8,0.8,0.79896,0.001040000000000041
1,k = 1,1,0.8500000000000001,0.8500000000000001,0.84931,0.0006900000000000794
1,k = 1,1,0.9,0.9,0.89978,0.00021999999999999797
1,k = 1,1,0.9500000000000001,0.9500000000000001,0.95115,0.0011499999999999844
1,k = 1,1,1.0,1.0,1.0,0.0
1,k = n/2,1,0.0,0.0,0.0,0.0
1,k = n/2,1,0.05,0.05,0.04839,0.0016100000000000003
1,k = n/2,1,0.1,0.1,0.10071,0.0007099999999999884
1,k = n/2,1,0.15000000000000002,0.15000000000000002,0.14857,0.0014300000000000146
1,k = n/2,1,0.2,0.2,0.2012,0.0011999999999999789
1,k = n/2,1,0.25,0.25,0.2513,0.0013000000000000234
1,k = n/2,1,0.30000000000000004,0.30000000000000004,0.29935,0.0006500000000000394
1,k = n/2,1,0.35000000000000003,0.35000000000000003,0.35341,0.0034099999999999686
1,k = n/2,1,0.4,0.4,0.40095,0.0009499999999999509
1,k = n/2,1,0.45,0.45,0.45094,0.0009399999999999964
1,k = n/2,1,0.5,0.5,0.4984,0.0015999999999999903
1,k = n/2,1,0.55,0.55,0.55353,0.003529999999999922
1,k = n/2,1,0.6000000000000001,0.6000000000000001,0.60093,0.0009299999999998754
1,k = n/2,1,0.65,0.65,0.64963,0.00036999999999998145
1,k = n/2,1,0.7000000000000001,0.7000000000000001,0.70131,0.0013099999999999223
1,k = n/2,1,0.75,0.75,0.75351,0.003510000000000013
1,k = n/2,1,0.8,0.8,0.79966,0.00034000000000000696
1,k = n/2,1,0.8500000000000001,0.8500000000000001,0.8508,0.0007999999999999119
1,k = n/2,1,0.9,0.9,0.90032,0.00031999999999998696
1,k = n/2,1,0.9500000000000001,0.9500000000000001,0.94996,4.0000000000040004e-05
1,k = n/2,1,1.0,1.0,1.0,0.0
1,k = n,1,0.0,0.0,0.0,0.0
1,k = n,1,0.05,0.05,0.04862,0.0013800000000000062
1,k = n,1,0.1,0.1,0.09968,0.00032000000000000084
1,k = n,1,0.15000000000000002,0.15000000000000002,0.15025,0.00024999999999997247
1,k = n,1,0.2,0.2,0.2002,0.00019999999999997797
1,k = n,1,0.25,0.25,0.24936,0.0006400000000000017
1,k = n,1,0.30000000000000004,0.30000000000000004,0.29968,0.00032000000000004247
1,k = n,1,0.35000000000000003,0.35000000000000003,0.34789,0.0021100000000000563
1,k = n,1,0.4,0.4,0.40014,0.00013999999999997348
1,k = n,1,0.45,0.45,0.44964,0.00036000000000002697
1,k = n,1,0.5,0.5,0.50039,0.00039000000000000146
1,k = n,1,0.55,0.55,0.54929,0.0007100000000000994
1,k = n,1,0.6000000000000001,0.6000000000000001,0.60301,0.003009999999999957
1,k = n,1,0.65,0.65,0.65001,9.99999999995449e-06
1,k = n,1,0.7000000000000001,0.7000000000000001,0.70013,0.00012999999999996348
1,k = n,1,0.75,0.75,0.74993,7.00000000000145e-05
1,k = n,1,0.8,0.8,0.7985,0.0015000000000000568
1,k = n,1,0.8500000000000001,0.8500000000000001,0.84786,0.002140000000000142
1,k = n,1,0.9,0.9,0.90026,0.00025999999999992696
1,k = n,1,0.9500000000000001,0.9500000000000001,0.95053,0.0005299999999999194
1,k = n,1,1.0,1.0,1.0,0.0
2,k = 1,1,0.0,0.0,0.0,0.0
2,k = 1,1,0.05,0.0975,0.09886,0.00136
2,k = 1,1,0.1,0.19000000000000003,0.19092,0.0009199999999999764
2,k = 1,1,0.15000000000000002,0.2775,0.27868,0.0011799999999999589
2,k = 1,1,0.2,0.3600000000000001,0.3604,0.00039999999999990044
2,k = 1,1,0.25,0.4375,0.43667,0.0008299999999999974
2,k = 1,1,0.30000000000000004,0.51,0.50767,0.0023300000000000542
2,k = 1,1,0.35000000000000003,0.5775,0.57687,0.0006300000000000194
2,k = 1,1,0.4,0.64,0.64118,0.0011799999999999589
2,k = 1,1,0.45,0.6975,0.69692,0.0005800000000000249
2,k = 1,1,0.5,0.75,0.75056,0.0005600000000000049
2,k = 1,1,0.55,0.7975000000000001,0.79964,0.0021399999999999197
2,k = 1,1,0.6000000000000001,0.8400000000000001,0.83854,0.0014600000000001279
2,k = 1,1,0.65,0.8775,0.87902,0.0015200000000000768
2,k = 1,1,0.7000000000000001,0.91,0.9109,0.0009000000000000119
2,k = 1,1,0.75,0.9375,0.93667,0.0008299999999999974
2,k = 1,1,0.8,0.9600000000000001,0.95976,0.000240000000000129
2,k = 1,1,0.8500000000000001,0.9775,0.97734,0.000160000000000049
2,k = 1,1,0.9,0.99,0.99009,9.00000000000345e-05
2,k = 1,1,0.9500000000000001,0.9974999999999999,0.99737,0.00012999999999996348
2,k = 1,1,1.0,1.0,1.0,0.0
2,k = n/2,1,0.0,0.0,0.0,0.0
2,k = n/2,1,0.05,0.0975,0.09685,0.0006499999999999978
2,k = n/2,1,0.1,0.19000000000000003,0.18902,0.0009800000000000364
2,k = n/2,1,0.15000000000000002,0.2775,0.27724,0.000260000000000038
2,k = n/2,1,0.2,0.3600000000000001,0.35802,0.001980000000000093
2,k = n/2,1,0.25,0.4375,0.43957,0.0020700000000000163
2,k = n/2,1,0.30000000000000004,0.51,0.50686,0.0031400000000000317
2,k = n/2,1,0.35000000000000003,0.5775,0.57921,0.0017099999999999893
2,k = n/2,1,0.4,0.64,0.6392,0.0008000000000000229
2,k = n/2,1,0.45,0.6975,0.6947,0.0028000000000000247
