n,caso,k,p,disponibilidade_experimental
1,k = 1,1,0.0,0.0
1,k = 1,1,0.05,0.0491
1,k = 1,1,0.1,0.09951
1,k = 1,1,0.15000000000000002,0.15093
1,k = 1,1,0.2,0.20217
1,k = 1,1,0.25,0.2474
1,k = 1,1,0.30000000000000004,0.29833
1,k = 1,1,0.35000000000000003,0.34912
1,k = 1,1,0.4,0.3989
1,k = 1,1,0.45,0.45056
1,k = 1,1,0.5,0.50121
1,k = 1,1,0.55,0.54981
1,k = 1,1,0.6000000000000001,0.59994
1,k = 1,1,0.65,0.65028
1,k = 1,1,0.7000000000000001,0.70298
1,k = 1,1,0.75,0.75023
1,k = 1,1,0.8,0.79896
1,k = 1,1,0.8500000000000001,0.84931
1,k = 1,1,0.9,0.89978
1,k = 1,1,0.9500000000000001,0.95115
1,k = 1,1,1.0,1.0
1,k = n/2,1,0.0,0.0
1,k = n/2,1,0.05,0.04839
1,k = n/2,1,0.1,0.10071
1,k = n/2,1,0.15000000000000002,0.14857
1,k = n/2,1,0.2,0.2012
1,k = n/2,1,0.25,0.2513
1,k = n/2,1,0.30000000000000004,0.29935
1,k = n/2,1,0.35000000000000003,0.35341
1,k = n/2,1,0.4,0.40095
1,k = n/2,1,0.45,0.45094
1,k = n/2,1,0.5,0.4984
1,k = n/2,1,0.55,0.55353
1,k = n/2,1,0.6000000000000001,0.60093
1,k = n/2,1,0.65,0.64963
1,k = n/2,1,0.7000000000000001,0.70131
1,k = n/2,1,0.75,0.75351
1,k = n/2,1,0.8,0.79966
1,k = n/2,1,0.8500000000000001,0.8508
1,k = n/2,1,0.9,0.90032
1,k = n/2,1,0.9500000000000001,0.94996
1,k = n/2,1,1.0,1.0
1,k = n,1,0.0,0.0
1,k = n,1,0.05,0.04862
1,k = n,1,0.1,0.09968
1,k = n,1,0.15000000000000002,0.15025
1,k = n,1,0.2,0.2002
1,k = n,1,0.25,0.24936
1,k = n,1,0.30000000000000004,0.29968
1,k = n,1,0.35000000000000003,0.34789
1,k = n,1,0.4,0.40014
1,k = n,1,0.45,0.44964
1,k = n,1,0.5,0.50039
1,k = n,1,0.55,0.54929
1,k = n,1,0.6000000000000001,0.60301
1,k = n,1,0.65,0.65001
1,k = n,1,0.7000000000000001,0.70013
1,k = n,1,0.75,0.74993
1,k = n,1,0.8,0.7985
1,k = n,1,0.8500000000000001,0.84786
1,k = n,1,0.9,0.90026
1,k = n,1,0.9500000000000001,0.95053
1,k = n,1,1.0,1.0
2,k = 1,1,0.0,0.0
2,k = 1,1,0.05,0.09886
2,k = 1,1,0.1,0.19092
2,k = 1,1,0.15000000000000002,0.27868
2,k = 1,1,0.2,0.3604
2,k = 1,1,0.25,0.43667
2,k = 1,1,0.30000000000000004,0.50767
2,k = 1,1,0.35000000000000003,0.57687
2,k = 1,1,0.4,0.64118
2,k = 1,1,0.45,0.69692
2,k = 1,1,0.5,0.75056
2,k = 1,1,0.55,0.79964
2,k = 1,1,0.6000000000000001,0.83854
2,k = 1,1,0.65,0.87902
2,k = 1,1,0.7000000000000001,0.9109
2,k = 1,1,0.75,0.93667
2,k = 1,1,0.8,0.95976
2,k = 1,1,0.8500000000000001,0.97734
2,k = 1,1,0.9,0.99009
2,k = 1,1,0.9500000000000001,0.99737
2,k = 1,1,1.0,1.0
2,k = n/2,1,0.0,0.0
2,k = n/2,1,0.05,0.09685
2,k = n/2,1,0.1,0.18902
2,k = n/2,1,0.15000000000000002,0.27724
2,k = n/2,1,0.2,0.35802
2,k = n/2,1,0.25,0.43957
2,k = n/2,1,0.30000000000000004,0.50686
2,k = n/2,1,0.35000000000000003,0.57921
2,k = n/2,1,0.4,0.6392
2,k = n/2,1,0.45,0.6947
2,k = n/2,1,0.5,0.74934
2,k = n/2,1,0.55,0.79858
2,k = n/2,1,0.6000000000000001,0.83963
2,k = n/2,1,0.65,0.87679
2,k = n/2,1,0.7000000000000001,0.90917
2,k = n/2,1,0.75,0.93771
2,k = n/2,1,0.8,0.95975
2,k = n/2,1,0.8500000000000001,0.97666
2,k = n/2,1,0.9,0.99016
2,k = n/2,1,0.9500000000000001,0.99769
2,k = n/2,1,1.0,1.0
2,k = n,2,0.0,0.0
2,k = n,2,0.05,0.00246
2,k = n,2,0.1,0.01029
2,k = n,2,0.15000000000000002,0.02193
2,k = n,2,0.2,0.03959
2,k = n,2,0.25,0.06201
2,k = n,2,0.30000000000000004,0.08952
2,k = n,2,0.35000000000000003,0.12265
2,k = n,2,0.4,0.16026
2,k = n,2,0.45,0.20165
2,k = n,2,0.5,0.24852
2,k = n,2,0.55,0.30219
2,k = n,2,0.6000000000000001,0.35996
2,k = n,2,0.65,0.42165
2,k = n,2,0.7000000000000001,0.49197
2,k = n,2,0.75,0.56405
2,k = n,2,0.8,0.63821
2,k = n,2,0.8500000000000001,0.72274
2,k = n,2,0.9,0.81062
2,k = n,2,0.9500000000000001,0.90274
2,k = n,2,1.0,1.0
4,k = 1,1,0.0,0.0
4,k = 1,1,0.05,0.18325
4,k = 1,1,0.1,0.34467
4,k = 1,1,0.15000000000000002,0.47867
4,k = 1,1,0.2,0.59028
4,k = 1,1,0.25,0.68146
4,k = 1,1,0.30000000000000004,0.75979
4,k = 1,1,0.35000000000000003,0.81973
4,k = 1,1,0.4,0.86973
4,k = 1,1,0.45,0.90881
4,k = 1,1,0.5,0.93755
4,k = 1,1,0.55,0.95985
4,k = 1,1,0.6000000000000001,0.9742
4,k = 1,1,0.65,0.98477
4,k = 1,1,0.7000000000000001,0.99124
4,k = 1,1,0.75,0.99642
4,k = 1,1,0.8,0.99858
4,k = 1,1,0.8500000000000001,0.99955
4,k = 1,1,0.9,0.99991
4,k = 1,1,0.9500000000000001,1.0
4,k = 1,1,1.0,1.0
4,k = n/2,2,0.0,0.0
4,k = n/2,2,0.05,0.01435
4,k = n/2,2,0.1,0.05338
4,k = n/2,2,0.15000000000000002,0.11241
4,k = n/2,2,0.2,0.18007
4,k = n/2,2,0.25,0.26228
4,k = n/2,2,0.30000000000000004,0.34533
4,k = n/2,2,0.35000000000000003,0.43483
4,k = n/2,2,0.4,0.52556
4,k = n/2,2,0.45,0.60841
4,k = n/2,2,0.5,0.69022
4,k = n/2,2,0.55,0.75952
4,k = n/2,2,0.6000000000000001,0.81904
4,k = n/2,2,0.65,0.87469
4,k = n/2,2,0.7000000000000001,0.91618
4,k = n/2,2,0.75,0.94816
4,k = n/2,2,0.8,0.97274
4,k = n/2,2,0.8500000000000001,0.98833
4,k = n/2,2,0.9,0.99648
4,k = n/2,2,0.9500000000000001,0.99956
4,k = n/2,2,1.0,1.0
4,k = n,4,0.0,0.0
4,k = n,4,0.05,0.0
4,k = n,4,0.1,0.00013
4,k = n,4,0.15000000000000002,0.00037
4,k = n,4,0.2,0.0016
4,k = n,4,0.25,0.00356
4,k = n,4,0.30000000000000004,0.00774
4,k = n,4,0.35000000000000003,0.01501
4,k = n,4,0.4,0.02618
4,k = n,4,0.45,0.0415
4,k = n,4,0.5,0.06171
4,k = n,4,0.55,0.09121
4,k = n,4,0.6000000000000001,0.13098
4,k = n,4,0.65,0.177
